match id,team1_id,team2_id,winner_id,toss decision,venue,city,match_dt,lighting,series_name,season,ground_id,team_count_50runs_last15,team_winp_last5,team1only_avg_runs_last15,team1_winp_team2_last15,ground_avg_runs_last15,toss_winner_team_id
8887857,33956,33921,33956,field,Be Ct Gd Wa Be,Brisbane,2022-01-19,day match,Bg Bh Le,2021/22,1476,0.909090909090909,2.9047619047619,169.733333333333,66.67,164,33921
8887871,33963,33942,33963,field,Me Ct Gd,Melbourne,2022-01-19,day/night match,Bg Bh Le,2021/22,440,1,1.48780487804878,173.066666666667,100,156.181818181818,33942
8887864,33949,33928,33949,field,Me Ct Gd,Melbourne,2022-01-19,night match,Bg Bh Le,2021/22,440,1.66666666666667,1,168.133333333333,33.33,156.181818181818,33928
9027283,17583,18570,18570,bat,En Pk Or Ol Ad,Auckland,2022-01-20,day match,Sr Sh,2021/22,5081,1.5,1.48780487804878,150.6,50,140.5,17583
9027416,17653,17982,17982,field,Hy Ol Ch,Christchurch,2022-01-21,night match,Sr Sh,2021/22,664,2.2,0.801980198019802,162.866666666667,33.33,156.55,17982
8887710,33914,33928,33914,bat,Me Ct Gd,Melbourne,2022-01-21,night match,Bg Bh Le,2021/22,440,1.2,1,161.333333333333,50,162.115384615385,33914
9076815,40452,42573,42573,field,Se Ba Nl Sm Mr,Dhaka,2022-01-21,night match,Bh Pr Le,2021/22,14188,0.6,1,0,0,112.884615384615,42573
9076808,40424,47529,47529,field,Se Ba Nl Sm Mr,Dhaka,2022-01-21,day match,Bh Pr Le,2021/22,14188,8,1,0,0,112.884615384615,47529
9076829,40424,40452,40424,field,Se Ba Nl Sm Mr,Dhaka,2022-01-22,night match,Bh Pr Le,2021/22,14188,2,1,125,0,118.5,40452
9027423,17744,17583,17744,field,En Pk Ad,Auckland,2022-01-22,day match,Sr Sh,2021/22,1994,1,0.024390243902439,181.066666666667,0,136.5,17583
8797053,20,41,41,field,Kn Ol Bn Bs,Bridgetown,2022-01-22,day/night match,Ed tr of Wt Is,2021/22,1406,1.66666666666667,61,159.533333333333,100,0,41
8887878,33935,33956,33935,bat,Ds Sm Me,Melbourne,2022-01-22,day match,Bg Bh Le,2021/22,8252,2.11111111111111,1.32786885245902,177.666666666667,40,159.181818181818,33935
8797060,20,41,20,field,Kn Ol Bn Bs,Bridgetown,2022-01-23,day/night match,Ed tr of Wt Is,2021/22,1406,1.28571428571429,1.95238095238095,156,50,103.5,41
9027430,18360,17653,17653,bat,Uy Ol Dn,Dunedin,2022-01-23,day match,Sr Sh,2021/22,5396,0.75,0.0123456790123456,164.6,0,181.166666666667,18360
8887885,33914,33963,33914,bat,Me Ct Gd,Melbourne,2022-01-23,day match,Bg Bh Le,2021/22,440,1.27272727272727,1,161.933333333333,33.33,163.178571428571,33914
9076836,47529,40452,40452,field,Se Ba Nl Sm Mr,Dhaka,2022-01-24,day match,Bh Pr Le,2021/22,14188,0.2,101,125,0,120.266666666667,40452
9076857,40298,47529,40298,field,Se Ba Nl Sm Mr,Dhaka,2022-01-25,night match,Bh Pr Le,2021/22,14188,6,0.0196078431372549,0,0,120.766666666667,47529
8887892,33914,33956,33956,field,Sy Ct Gd,Sydney,2022-01-26,night match,Bg Bh Le,2021/22,937,2.5,1.32786885245902,161.066666666667,33.33,152.416666666667,33956
8797067,41,20,41,field,Kn Ol Bn Bs,Bridgetown,2022-01-26,day/night match,Ed tr of Wt Is,2021/22,1406,0.666666666666667,0.51219512195122,161.4,33.33,137,20
9051013,40564,44904,44904,field,Nl Sm Ki,Karachi,2022-01-27,night match,Pn Sr Le,2021/22,3422,1,0.506172839506173,171.545454545455,50,175.2,44904
9076864,40424,42573,42573,field,Zr Ad Cy Sm Cm,Chattogram,2022-01-28,day match,Bh Pr Le,2021/22,13530,0.777777777777778,0.504950495049505,143,0,0,42573
9051020,40592,40550,40550,field,Nl Sm Ki,Karachi,2022-01-28,night match,Pn Sr Le,2021/22,3422,0.6,0.344262295081967,167.6,0,174.1,40550
8887899,33935,33956,33935,field,Ds Sm Me,Melbourne,2022-01-28,night match,Bg Bh Le,2021/22,8252,2.33333333333333,1.65573770491803,178.2,40,159.666666666667,33956
9027451,17982,17653,17982,field,Sn Pk Hn,Hamilton,2022-01-29,night match,Sr Sh,2021/22,3541,0.428571428571429,1.24691358024691,144.733333333333,75,146.4,17653
9076878,47529,42573,47529,field,Zr Ad Cy Sm Cm,Chattogram,2022-01-29,day match,Bh Pr Le,2021/22,13530,0.1,0.33990099009901,137.333333333333,0,143.5,42573
9051034,40564,40592,40592,field,Nl Sm Ki,Karachi,2022-01-29,night match,Pn Sr Le,2021/22,3422,1.875,1.95238095238095,167.583333333333,100,174.9,40592
9076885,40424,45072,40424,field,Zr Ad Cy Sm Cm,Chattogram,2022-01-29,night match,Bh Pr Le,2021/22,13530,0.833333333333333,34.33,143,0,143.5,45072
8797074,20,41,20,field,Kn Ol Bn Bs,Bridgetown,2022-01-29,day/night match,Ed tr of Wt Is,2021/22,1406,1.18181818181818,0.51219512195122,155.066666666667,50,162.666666666667,41
9076899,47529,42573,47529,bat,Zr Ad Cy Sm Cm,Chattogram,2022-01-31,night match,Bh Pr Le,2021/22,13530,0.111111111111111,0.753657455297769,138.25,100,156.666666666667,47529
9076892,40298,40424,40298,field,Zr Ad Cy Sm Cm,Chattogram,2022-01-31,day match,Bh Pr Le,2021/22,13530,1,1.98039215686274,158,0,156.666666666667,40424
9051055,44904,40592,44904,field,Nl Sm Ki,Karachi,2022-01-31,night match,Pn Sr Le,2021/22,3422,1.77777777777778,1.97560975609756,171.076923076923,50,169.466666666667,40592
9076906,40452,40298,40452,field,Zr Ad Cy Sm Cm,Chattogram,2022-02-01,day match,Bh Pr Le,2021/22,13530,0.714285714285714,0.33990099009901,157.666666666667,0,153.8,40298
9051062,44904,40578,44904,field,Nl Sm Ki,Karachi,2022-02-01,night match,Pn Sr Le,2021/22,3422,2.5,1.32786885245902,171.285714285714,33.33,167.766666666667,40578
9076913,47529,40424,47529,bat,Zr Ad Cy Sm Cm,Chattogram,2022-02-01,night match,Bh Pr Le,2021/22,13530,0.25,1.48780487804878,139.6,100,153.8,47529
9076927,40424,40298,40298,field,Se Ba Nl Sm Mr,Dhaka,2022-02-03,night match,Bh Pr Le,2021/22,14188,0.571428571428571,0.605881483670755,160.5,0,121.066666666667,40298
9076920,45072,42573,42573,field,Se Ba Nl Sm Mr,Dhaka,2022-02-03,day match,Bh Pr Le,2021/22,14188,0.75,0.0196078431372549,202,0,121.066666666667,42573
9051083,40550,40564,40550,field,Nl Sm Ki,Karachi,2022-02-04,night match,Pn Sr Le,2021/22,3422,0.615384615384615,1.48780487804878,176.428571428571,66.67,168.233333333333,40564
9051090,40606,40578,40606,field,Nl Sm Ki,Karachi,2022-02-05,day/night match,Pn Sr Le,2021/22,3422,1,0.51219512195122,162.9,50,168.933333333333,40578
9076955,42573,45072,42573,field,St Il Ct Sm,Sylhet,2022-02-07,night match,Bh Pr Le,2021/22,10961,1.14285714285714,61,150.8,100,0,45072
9097227,22497,23869,23869,bat,St Gs Pk Pt Eh,Port Elizabeth,2022-02-07,day match,CA T0 Ce,2021/22,1224,3,1,0,0,0,22497
9076948,47529,40298,47529,field,St Il Ct Sm,Sylhet,2022-02-07,day match,Bh Pr Le,2021/22,10961,0.333333333333333,0.802631578947369,141.166666666667,0,0,40298
9051111,40606,40592,40592,field,Nl Sm Ki,Karachi,2022-02-07,night match,Pn Sr Le,2021/22,3422,1.14285714285714,1,163.909090909091,50,172.266666666667,40592
9076969,47529,45072,47529,field,St Il Ct Sm,Sylhet,2022-02-08,night match,Bh Pr Le,2021/22,10961,0.5,81,143.142857142857,0,156.75,45072
9076962,40424,40452,40424,field,St Il Ct Sm,Sylhet,2022-02-08,day match,Bh Pr Le,2021/22,10961,0.666666666666667,0.411764705882353,157.285714285714,100,156.75,40452
9097262,23841,23869,23869,bat,St Gs Pk Pt Eh,Port Elizabeth,2022-02-09,day match,CA T0 Ce,2021/22,1224,1,0.405940594059406,155.8,0,142.5,23841
9097255,23750,22497,23750,field,St Gs Pk Pt Eh,Port Elizabeth,2022-02-09,day match,CA T0 Ce,2021/22,1224,2,41,139.2,0,142.5,22497
9051118,44904,40550,44904,field,Gi Sm Le,Lahore,2022-02-10,night match,Pn Sr Le,2021/22,3828,1.45454545454545,1.24691358024691,174.333333333333,66.67,159.5,40550
9097276,23113,22763,23113,bat,St Gs Pk Pt Eh,Port Elizabeth,2022-02-10,day match,CA T0 Ce,2021/22,1224,1,1,128.833333333333,50,154.166666666667,23113
9076990,40298,42573,40298,field,Se Ba Nl Sm Mr,Dhaka,2022-02-11,day match,Bh Pr Le,2021/22,14188,0.9,1,163,0,127.033333333333,42573
9097164,272,237,237,field,Al At Ct Gd On Ct My Tf 1,Al Amarat,2022-02-11,day match,Nl tr of On,2021/22,23736,1,1,153,0,140,237
9097290,23750,22784,23750,bat,St Gs Pk Pt Eh,Port Elizabeth,2022-02-12,day match,CA T0 Ce,2021/22,1224,2.33333333333333,1.95238095238095,142.333333333333,100,153.625,23750
9051132,40578,40592,40592,field,Gi Sm Le,Lahore,2022-02-12,night match,Pn Sr Le,2021/22,3828,0.75,0.51219512195122,169.928571428571,100,159.875,40592
9097171,272,216,216,field,Al At Ct Gd On Ct My Tf 1,Al Amarat,2022-02-12,day match,Id tr of On,2021/22,23736,0.142857142857143,0.024390243902439,144,0,138,216
9097479,202,237,202,field,Al At Ct Gd On Ct My Tf 1,Al Amarat,2022-02-12,day match,Ud Ab Es tr of On,2021/22,23736,0.5,0.0099009900990099,0,0,138,237
9097157,202,216,202,field,Al At Ct Gd On Ct My Tf 1,Al Amarat,2022-02-13,day match,Ud Ab Es tr of On,2021/22,23736,0.222222222222222,1.65573770491803,192,0,148.5,216
9051146,40592,40606,40606,field,Gi Sm Le,Lahore,2022-02-13,night match,Pn Sr Le,2021/22,3828,0.888888888888889,2.9047619047619,170.4,66.67,168.1,40606
9097297,23113,23869,23869,field,St Gs Pk Pt Eh,Port Elizabeth,2022-02-13,day match,CA T0 Ce,2021/22,1224,3,0.801980198019802,132.714285714286,0,150.4,23869
9051139,40550,40564,40550,field,Gi Sm Le,Lahore,2022-02-13,day/night match,Pn Sr Le,2021/22,3828,0.411764705882353,2.9047619047619,179,75,168.1,40564
9077018,40424,42573,40424,field,Se Ba Nl Sm Mr,Dhaka,2022-02-14,day match,Bh Pr Le,2021/22,14188,0.5,1,156.125,0,133.333333333333,42573
9097318,23841,22784,22784,bat,St Gs Pk Pt Eh,Port Elizabeth,2022-02-14,day match,CA T0 Ce,2021/22,1224,1,1.95238095238095,157,100,148.75,23841
9077025,47529,40298,47529,field,Se Ba Nl Sm Mr,Dhaka,2022-02-14,night match,Bh Pr Le,2021/22,14188,0.5,1.65573770491803,150.125,50,133.333333333333,40298
9097332,23869,23316,23869,bat,St Gs Pk Pt Eh,Port Elizabeth,2022-02-15,day match,CA T0 Ce,2021/22,1224,1,101,148.333333333333,0,152,23869
8844324,69,27,27,field,Ma Ol Ca,Canberra,2022-02-15,night match,Si La tr of Aa,2021/22,5312,0.789473684210526,0.506172839506173,138.2,0,162.388888888889,27
9097325,22497,23113,22497,field,St Gs Pk Pt Eh,Port Elizabeth,2022-02-15,day match,CA T0 Ce,2021/22,1224,1,0.0123456790123456,150,0,152,23113
9077032,40424,40298,40298,bat,Se Ba Nl Sm Mr,Dhaka,2022-02-16,night match,Bh Pr Le,2021/22,14188,0.6,1,159.777777777778,0,138.833333333333,40424
9051174,40550,40578,40550,bat,Gi Sm Le,Lahore,2022-02-17,night match,Pn Sr Le,2021/22,3828,0.8,61,179,66.67,164,40550
9097346,23841,22497,22497,bat,St Gs Pk Pt Eh,Port Elizabeth,2022-02-17,day match,CA T0 Ce,2021/22,1224,1,1.19429070783571,158.857142857143,0,147.111111111111,23841
9051188,40564,40606,40564,bat,Gi Sm Le,Lahore,2022-02-18,night match,Pn Sr Le,2021/22,3828,1.18181818181818,0.024390243902439,166,50,168.625,40564
9097353,22784,23869,23869,field,St Gs Pk Pt Eh,Port Elizabeth,2022-02-18,day match,CA T0 Ce,2021/22,1224,1.66666666666667,0.405940594059406,144.428571428571,0,148.2,23869
9097360,23316,22763,22763,field,St Gs Pk Pt Eh,Port Elizabeth,2022-02-18,day match,CA T0 Ce,2021/22,1224,0.25,0.0163934426229508,164,0,148.2,22763
9096989,202,216,202,bat,Al At Ct Gd On Ct My Tf 1,Al Amarat,2022-02-18,day match,Ud Ab Es tr of On,2021/22,23736,0.444444444444444,2.46341463414634,185,100,153.1,202
9096975,237,272,237,field,Al At Ct Gd On Ct My Tf 1,Al Amarat,2022-02-18,day match,Nl tr of On,2021/22,23736,1,51,163.5,100,153.1,272
9051181,44904,40592,44904,bat,Gi Sm Le,Lahore,2022-02-18,day/night match,Pn Sr Le,2021/22,3828,1.27272727272727,1.65573770491803,176.466666666667,66.67,168.625,44904
8844331,69,27,27,field,Me Ct Gd,Melbourne,2022-02-18,night match,Si La tr of Aa,2021/22,440,0.789473684210526,0.207920792079208,134.266666666667,0,164.366666666667,27
9097017,202,258,202,bat,Al At Ct Gd On Ct My Tf 1,Al Amarat,2022-02-19,day match,Ud Ab Es tr of On,2021/22,23736,5,101,175.666666666667,0,144.428571428571,202
9097367,23869,23750,23750,field,St Gs Pk Pt Eh,Port Elizabeth,2022-02-19,day match,CA T0 Ce,2021/22,1224,0.375,2.46341463414634,147,0,145.458333333333,23750
9097024,216,769,216,bat,Al At Ct Gd On Ct My Tf 2,Al Amarat,2022-02-19,day match,Id tr of On,2021/22,24254,9,41,156.333333333333,0,0,216
9097388,22784,23113,23113,bat,St Gs Pk Pt Eh,Port Elizabeth,2022-02-20,day match,CA T0 Ce,2021/22,1224,1.33333333333333,0.344262295081967,142.125,0,145.192307692308,22784
9051209,40578,44904,44904,bat,Gi Sm Le,Lahore,2022-02-20,night match,Pn Sr Le,2021/22,3828,0.176470588235294,0.0099009900990099,175.6,50,167.35,40578
9097045,132,237,237,bat,Al At Ct Gd On Ct My Tf 1,Al Amarat,2022-02-21,day match,Nl tr of On,2021/22,23736,0.5,0.0147775971627013,0,0,148.75,132
9097038,769,202,769,bat,Al At Ct Gd On Ct My Tf 2,Al Amarat,2022-02-21,day match,Ud Ab Es tr of On,2021/22,24254,0.166666666666667,0.0099009900990099,158,0,147.5,769
9097402,22784,22497,22784,bat,St Gs Pk Pt Eh,Port Elizabeth,2022-02-22,day match,CA T0 Ce,2021/22,1224,1.25,0.411764705882353,140.444444444444,0,144,22784
9097073,202,237,202,bat,Al At Ct Gd On Ct My Tf 1,Al Amarat,2022-02-22,day match,Ud Ab Es tr of On,2021/22,23736,3.5,1.06578947368421,178,100,141.166666666667,202
9097080,216,272,216,field,Al At Ct Gd On Ct My Tf 2,Al Amarat,2022-02-22,day match,Id tr of On,2021/22,24254,4.5,61,155.866666666667,100,159.25,272
9097416,23316,23841,23316,bat,St Gs Pk Pt Eh,Port Elizabeth,2022-02-23,day match,CA T0 Ce,2021/22,1224,0.25,0.0476190476190476,149.5,0,145.233333333333,23316
9051223,44904,40606,44904,field,Gi Sm Le,Lahore,2022-02-23,night match,Pn Sr Le,2021/22,3828,1.7,2.46341463414634,176.466666666667,100,161.954545454545,40606
9051230,40550,40578,40578,bat,Gi Sm Le,Lahore,2022-02-24,night match,Pn Sr Le,2021/22,3828,0.7,81,179.533333333333,75,160.875,40550
8950801,55,69,55,field,Bt Ra Si Al Bi Ve Ea Ct Sm Lw,Lucknow,2022-02-24,night match,Si La tr of Ia,2021/22,23498,2,4.80952380952381,153,33.33,142.428571428571,69
9097108,216,202,202,bat,Al At Ct Gd On Ct My Tf 1,Al Amarat,2022-02-24,day match,Ud Ab Es tr of On,2021/22,23736,1.14285714285714,0.753086419753086,156.266666666667,0,141.15,216
9097101,272,237,237,bat,Al At Ct Gd On Ct My Tf 2,Al Amarat,2022-02-24,day match,Nl tr of On,2021/22,24254,1,0.0163934426229508,141.4,0,151.833333333333,272
9097423,22763,23750,23750,field,St Gs Pk Pt Eh,Port Elizabeth,2022-02-25,day match,CA T0 Ce,2021/22,1224,0.571428571428571,1,142.75,100,146.666666666667,23750
9051237,40606,40578,40606,bat,Gi Sm Le,Lahore,2022-02-25,night match,Pn Sr Le,2021/22,3828,0.916666666666667,1.95238095238095,164,66.67,161.538461538462,40606
8950808,69,55,55,field,Hl Ph Ct An Sm Da,Dharamsala,2022-02-26,night match,Si La tr of Ia,2021/22,13453,0.434782608695652,0.207920792079208,137.066666666667,50,0,55
9051244,40606,44904,40606,bat,Gi Sm Le,Lahore,2022-02-27,night match,Pn Sr Le,2021/22,3828,0.473684210526316,0.405940594059406,165.866666666667,0,161.785714285714,40606
8950815,69,55,55,bat,Hl Ph Ct An Sm Da,Dharamsala,2022-02-27,night match,Si La tr of Ia,2021/22,13453,0.6,0.207920792079208,143.866666666667,40,184.5,69
9097437,22497,23750,22497,bat,St Gs Pk Pt Eh,Port Elizabeth,2022-02-27,day match,CA T0 Ce,2021/22,1224,0.714285714285714,0.506172839506173,156,0,142.466666666667,22497
9098837,188,293,188,bat,Se Ba Nl Sm Mr,Dhaka,2022-03-03,day/night match,An tr of Bh,2021/22,14188,1.14285714285714,0.024390243902439,120.733333333333,0,142.433333333333,188
9128342,30414,30400,30400,field,We Sm Mi,Mumbai,2022-03-26,night match,In Pr Le,2022,5004,0.727272727272727,0.506172839506173,168.933333333333,100,170.666666666667,30400
9128349,30435,30421,30421,field,Be Sm Mi,Mumbai,2022-03-27,day/night match,In Pr Le,2022,2764,1,1.48780487804878,155.928571428571,0,0,30421
9128370,30428,36014,30428,field,Ma Ct An Sm Pe,Pune,2022-03-29,night match,In Pr Le,2022,18752,1.33333333333333,0.51219512195122,168.5,50,0,36014
9128377,30400,30393,30393,field,Dr DY Pl Ss Ay Mi,Mumbai,2022-03-30,night match,In Pr Le,2022,16540,2.33333333333333,1.32786885245902,148.133333333333,66.67,0,30393
9128384,30414,48334,48334,field,Be Sm Mi,Mumbai,2022-03-31,night match,In Pr Le,2022,2764,0.782608695652174,41,170.6,0,178,48334
9128391,30407,30400,30400,field,We Sm Mi,Mumbai,2022-04-01,night match,In Pr Le,2022,5004,0.533333333333333,1,153.5,50,164.333333333333,30400
9128405,48341,30421,48341,field,Ma Ct An Sm Pe,Pune,2022-04-02,night match,In Pr Le,2022,18752,0.8,0.024390243902439,0,0,179.5,30421
9128412,30407,30414,30407,field,Be Sm Mi,Mumbai,2022-04-03,night match,In Pr Le,2022,2764,0.5,1,152.4,50,194.25,30414
9128419,48334,36014,48334,field,Dr DY Pl Ss Ay Mi,Mumbai,2022-04-04,night match,In Pr Le,2022,16540,1.84615384615385,4.80952380952381,210,0,130,36014
9018225,62,27,27,field,Gi Sm Le,Lahore,2022-04-05,night match,Aa tr of Pn,2021/22,3828,1.10526315789474,1,162.333333333333,0,161.6,27
9128433,30435,30400,30400,field,Ma Ct An Sm Pe,Pune,2022-04-06,night match,In Pr Le,2022,18752,0.75,1,157.333333333333,50,171.75,30400
9128440,30421,48334,48334,field,Dr DY Pl Ss Ay Mi,Mumbai,2022-04-07,night match,In Pr Le,2022,16540,0.65,0.207920792079208,154.8,0,146.5,48334
9167920,251,209,209,field,Ud Ct Cb Gd Wk,Windhoek,2022-04-08,day match,Ua tr of Na,2022,11885,0.5,0.0476190476190476,0,0,0,251
9128454,30414,36014,36014,field,Dr DY Pl Ss Ay Mi,Mumbai,2022-04-09,day/night match,In Pr Le,2022,16540,1.38461538461538,1.95238095238095,169.4,100,148.333333333333,36014
9128461,30435,30393,30393,field,Ma Ct An Sm Pe,Pune,2022-04-09,night match,In Pr Le,2022,18752,1.27272727272727,0.672131147540984,157.466666666667,0,168.333333333333,30393
9128468,30421,30400,30421,field,Be Sm Mi,Mumbai,2022-04-10,day/night match,In Pr Le,2022,2764,0.777777777777778,0.344262295081967,151.733333333333,33.33,180.5,30400
9128475,30428,48334,30428,field,We Sm Mi,Mumbai,2022-04-10,night match,In Pr Le,2022,5004,1.125,0.405940594059406,171.266666666667,0,167.3,48334
9128482,48341,36014,36014,field,Dr DY Pl Ss Ay Mi,Mumbai,2022-04-11,night match,In Pr Le,2022,16540,0.615384615384615,2.46341463414634,171,0,149.875,36014
9128489,30414,30393,30414,field,Dr DY Pl Ss Ay Mi,Mumbai,2022-04-12,night match,In Pr Le,2022,16540,1.63636363636364,0.344262295081967,166.933333333333,100,152.9,30393
9128503,48341,30428,48341,field,Dr DY Pl Ss Ay Mi,Mumbai,2022-04-14,night match,In Pr Le,2022,16540,0.588235294117647,0.836065573770492,166.5,0,161.5,30428
9128510,30400,36014,36014,field,Be Sm Mi,Mumbai,2022-04-15,night match,In Pr Le,2022,2764,1.71428571428571,1.48780487804878,148.866666666667,100,183.625,36014
9128524,30393,30421,30393,field,We Sm Mi,Mumbai,2022-04-16,night match,In Pr Le,2022,5004,0.55,1.48780487804878,158.8,100,166.033333333333,30421
9128517,48334,30435,48334,field,Be Sm Mi,Mumbai,2022-04-16,day/night match,In Pr Le,2022,2764,1.5,1.85365853658537,173.25,0,182,30435
9128531,30407,36014,36014,field,Dr DY Pl Ss Ay Mi,Mumbai,2022-04-17,day/night match,In Pr Le,2022,16540,0.6,1,149.666666666667,50,163.214285714286,36014
9128545,30428,30400,30428,field,Be Sm Mi,Mumbai,2022-04-18,night match,In Pr Le,2022,2764,0.666666666666667,1,170.533333333333,50,183.333333333333,30400
9128559,30407,30421,30421,field,Be Sm Mi,Mumbai,2022-04-20,night match,In Pr Le,2022,2764,0.75,1,152.666666666667,0,187.642857142857,30421
9128566,30435,30414,30414,field,Dr DY Pl Ss Ay Mi,Navi Mumbai,2022-04-21,night match,In Pr Le,2022,16540,0.777777777777778,1,160.666666666667,50,161.75,30414
9128573,30428,30421,30428,field,We Sm Mi,Mumbai,2022-04-22,night match,In Pr Le,2022,5004,0.941176470588235,1.48780487804878,172.466666666667,50,167.766666666667,30421
9128580,48341,30400,48341,bat,Dr DY Pl Ss Ay Mi,Navi Mumbai,2022-04-23,day/night match,In Pr Le,2022,16540,0.5625,1.65048780487805,175,0,161.055555555556,48341
9128594,48334,30435,48334,field,We Sm Mi,Mumbai,2022-04-24,night match,In Pr Le,2022,5004,1.5,81,178.4,100,169,30435
9128601,30407,30414,30407,field,We Sm Mi,Mumbai,2022-04-25,night match,In Pr Le,2022,5004,0.823529411764706,1,147.333333333333,66.67,166.4,30414
9128608,30428,30393,30428,field,Ma Ct An Sm Pe,Pune,2022-04-26,night match,In Pr Le,2022,18752,1.125,1.32786885245902,175.466666666667,0,164.125,30393
9128622,30400,30421,30421,field,We Sm Mi,Mumbai,2022-04-28,night match,In Pr Le,2022,5004,0.95,0.51219512195122,157.533333333333,50,163.9,30421
9128636,30393,48341,48341,bat,Be Sm Mi,Mumbai,2022-04-30,day/night match,In Pr Le,2022,2764,2,0.802631578947369,156.466666666667,0,178.8125,30393
9128643,30428,30435,30435,field,Dr DY Pl Ss Ay Mi,Navi Mumbai,2022-04-30,night match,In Pr Le,2022,16540,1.28571428571429,81,176.2,0,160.15,30435
9128657,30414,36014,30414,field,Ma Ct An Sm Pe,Pune,2022-05-01,night match,In Pr Le,2022,18752,1.07142857142857,0.506172839506173,167.8,66.67,157.2,36014
9128650,48334,30421,48334,bat,We Sm Mi,Mumbai,2022-05-01,day/night match,In Pr Le,2022,5004,0.894736842105263,1.32786885245902,176.666666666667,100,163.866666666667,48334
9128664,30428,30400,30400,field,We Sm Mi,Mumbai,2022-05-02,night match,In Pr Le,2022,5004,0.894736842105263,61,175.333333333333,66.67,169.566666666667,30400
